product_name,categories_en,energy-kcal_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g
"Gaspacho bio liebig","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Cold soups,Gazpacho","28","3.2","0.6","1.2","0.8"
"Soupe poireaux noix de St Jacques","","55.6","5.44000015258789","1.87999992370605","2.72000007629395","0.880000019073486"
"Soupe a l’oignon","","29","5.69999980926514","0.629999995231628","0.699999988079071","0.600000023841858"
"cèpes & Bolets à la crème fraîche","fr:potage","29.7942","4.045725","0.94851","1.022385","0.16223"
"Soupe légumes et kiri","","51","5.80000019073486","0.800000011920929","2.5","1"
"Soupe à la campagnarde","","57","7.09999990463257","2.20000004768372","1.89999997615814","1.5"
"Velouté de 10 légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups","43","5.2","0.7","1.6","0.8"
"Mouliné de Légumes Verts","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","31","5.2","1","0.5","1.1"
"Soupe","","39.6","5.6","0.6","1.4","1.03999996185303"
"Soupe  légumes vermicelles","","37.6","5.6","1","1.11999998092651","0.919999980926514"
"soupe potiron carottes et vermicelles","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","74","13","1.7","1.1","2"
"Soupe chinoise légume et vermicelles","","21","3.5","0.5","0.400000005960464","0.5"
"Soupe Toscane","","336","64.1","10.3","2.7","7.1"
"Velouté chanterelles est Bolets","","36","4","0.600000023841858","1.79999995231628","0.5"
"Velouté de 8 légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Cream soups,Cream of vegetable soups","43.6","6.4","0.6","2.12","0.92"
"Velouté de potiron","","27","4.5","0.699999988079071","0.400000005960464","1.29999995231628"
"velouté de potiron","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Cream soups,Cream of vegetable soups,Pumpkin soups,Cream of pumpkin soups","30","4.1","0.6","1","1"
"velouté de cresson.","Meals,Soups,Cream soups,fr:soupe-de-cresson","29","4.5","0.8","0.7","0.7"
"velouté de 10 légumes","Meals,Soups,Reheatable soups","42.9","4.9","0.6","2.1","1"
"Velouté  de potiron à la crème fraîche","","30","4.59999990463257","","0.800000011920929","1"
"Kippensoep","","18","2.90000009536743","1.29999995231628","0.100000001490116","0.200000002980232"
"Délice de 8 légumes","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,Cold soups","53","4.8","0.8","3.2","1"
"Légumes variés","","38","5.2","0.9","1.1","1.6"
"Légume d’autrefois","","36","5.5","0.6","1.1","1"
"Velouté tomates + boulettes","","41","3.7","1.3","2","1.3"
"Carotte panais","","44","5.69999980926514","0.600000023841858","1.79999995231628","1.29999995231628"
"Soupe délice de 8 légumes avec boulettes","","51","6.69999980926514","1.5","1.79999995231628","0.699999988079071"
"Minestrone","","30","5","1","0.400000005960464","1"
"Soupe tomates boulettes","","43","4.5","1.70000004768372","1.79999995231628","1.10000002384186"
"Tomates légumes","","31","4.30000019073486","1.10000002384186","0.899999976158142","0.800000011920929"
"Soupe carottes potiron","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","42","5.6","1.3","1.4","0.8"
"Chicken soup","","19","3.09999990463257","1.20000004768372","0.100000001490116","0.200000002980232"
"Velouté de potiron","","31","4.59999990463257","0.699999988079071","8","1.10000002384186"
"Velouté aux 8 Légumes","","44","5.09999990463257","0.600000023841858","2.09999990463257","0.899999976158142"
"Suprême de tomates","","37","5.40000009536743","0.800000011920929","1.20000004768372","0.699999988079071"
"Carmel protein","","401","13","73","7.6",""
"Wermuttee","","0","0","0","0","0"
"Formula 1","Food","360","52","36","4","12"
"Clear Whey Isolate Apple","","360","3.5","83","1.39999997615814",""
"Baguette parisien","","222","38.4","11.7","3.3",""
"Knusper honigmüsli","","407","61.2000007629395","9.5","12.1999998092651","7.40000009536743"
"Snacks de mais","","436","71.8","0","13.3",""
"&quot;Baguette Lyonnais&quot;","","290","41","12.5","9.4",""
"Lieu, riz à la crème de coco et épinards","","96","5.24","6","5.48","0.8"
"Laugengipfrl","","216.666666666667","23.3333333333333","4.8","11.3333333333333","1.13333333333333"
"Pringles","","535.714285714286","57.1428571428571","3.57142857142857","32.1428571428571",""
"Formula 1 healthy meal","Beverages and beverages preparations,Beverages,Dairies,Canned foods,Meals,Dairy drinks,Flavoured milks,Dietary supplements,Milkshakes","380","20","40","11","20"
"Il pane del forno","","286","53","9.3","3.2","3.8"
"Bio Mönchspfeffer","","0","80","0","0",""
"Piadina Kamut","","291","46","8.60000038146973","7.59999990463257","1.89999997615814"
"Solène céréales poulet","","219","30.3","9.7","5.9","2.8"
"Filet poulet tex-mex","","113","0.6","19","3","2"
"Crème de vinaigre saveur truffe","","180","45.24","","",""
"Hackfleisch","","2","0.3","0.2","0.1",""
"Pringles","","535.714285714286","57.1428571428571","3.57142857142857","32.1428571428571","3.57142857142857"
"Kombucha","Beverages,Fermented foods,Fermented drinks,Tea-based beverages,Kombuchas","5","1.1","0.1","0.1","0.7"
"8 mini beignets fourrés au chocolat noisette","Snacks,Sweet snacks,Sweet fritters,fr:beignets-au-chocolat","428","45","6.8","24",""
"Firecracker Chicken Noodles & Crunchy Veg","","128","15","12","1.5","1.7"
"Csirke mellfilé","","99","0.100000001490116","22.7999992370605","1.10000002384186",""
"Cœurs de cereales","","434","67","6.2","14","7.5"
"Änglamark Baguette 400g","","107","7.9","17","0.9",""
"One piece","","78","27","23","0",""
"26 38","Meals,Pizzas pies and quiches,Pizzas,Vegetarian pizzas,Cheese pizzas,Five Cheese Pizza","256","24","12","13","1.1"
"MOA","Dietary supplements","40","10","0","0","0"
"walnut","","100","4","8","8",""
"Xtra-Cal Advanced","Dietary supplements,Vitamin mineral combinations","101","10.9","2.13","3","6.8"
"Préparation pour sandwich","","211","1.2","12.6","17",""
"Rillettes de sanglier au Chouchen","Meats and their products,Spreads,Meats,Prepared meats,Salted spreads,Rillettes,Potted meats,fr:Rillettes de viande rouge,fr:Rillettes de gibiers de chasse,Wild boar rillettes","325","0","16","29",""
"Lpm","","106","0","25","0.7","0"
"Tenders kfc","","306","16","21","18","0.5"
"Germidine solution 250ml","","193","2.2","1.5","0.2","88"
